"history_id","user_id","location","recorded_at","transport_mode"
2946,9,POINT (-84.0073864 34.005789),2026-09-08 01:40:08.837 -0400,
2945,9,POINT (-84.0073949 34.0057888),2026-09-08 01:39:06.779 -0400,
2944,9,POINT (-84.0073946 34.0057741),2026-09-08 01:38:04.850 -0400,
2943,9,POINT (-84.0073909 34.0057859),2026-09-08 01:37:03.024 -0400,
2942,9,POINT (-84.0073881 34.0056995),2026-09-08 01:36:01.223 -0400,
2941,9,POINT (-84.0073987 34.005757),2026-09-08 01:34:59.733 -0400,
2940,9,POINT (-84.0073909 34.0057859),2026-09-08 01:33:58.852 -0400,
2939,9,POINT (-84.0073901 34.0057294),2026-09-08 01:32:56.735 -0400,
2938,9,POINT (-84.0073903 34.0057867),2026-09-08 01:31:55.125 -0400,
2937,9,POINT (-84.0073994 34.0057678),2026-09-08 01:30:54.591 -0400,
2936,9,POINT (-84.007389 34.0057883),2026-09-08 01:29:53.686 -0400,
2935,9,POINT (-84.0073925 34.0057893),2026-09-08 01:28:53.120 -0400,
2934,9,POINT (-84.00743 34.0055576),2026-09-08 01:27:52.438 -0400,
2933,9,POINT (-84.0073988 34.0057515),2026-09-08 01:26:51.519 -0400,
2932,9,POINT (-84.0073942 34.0057011),2026-09-08 01:25:50.733 -0400,
2931,9,POINT (-84.0073939 34.005793),2026-09-08 01:24:49.357 -0400,
2930,9,POINT (-84.0073943 34.0057871),2026-09-08 01:23:00.548 -0400,
2929,9,POINT (-84.0075084 34.0058085),2026-09-08 01:21:59.130 -0400,
2928,9,POINT (-84.0073732 34.005803),2026-09-08 01:20:56.153 -0400,
2927,9,POINT (-84.0073493 34.005904),2026-09-08 01:19:53.291 -0400,
2926,9,POINT (-84.0076402 34.0057805),2026-09-08 01:18:49.113 -0400,
2925,9,POINT (-84.0074485 34.0058108),2026-09-08 01:17:55.894 -0400,
2924,9,POINT (-84.0073902 34.0057753),2026-09-08 01:16:55.015 -0400,
2923,9,POINT (-84.0073957 34.0057872),2026-09-08 01:15:54.232 -0400,
2922,9,POINT (-84.0074903 34.0057445),2026-09-08 01:14:53.410 -0400,
2921,9,POINT (-84.0073999 34.0057619),2026-09-08 01:13:52.301 -0400,
2920,9,POINT (-84.0073985 34.0057771),2026-09-08 01:12:51.543 -0400,
2919,9,POINT (-84.0073889 34.0057837),2026-09-08 01:11:50.576 -0400,
2918,9,POINT (-84.0073941 34.0056392),2026-09-08 01:10:49.744 -0400,
2917,9,POINT (-84.0074344 34.0054934),2026-09-08 01:09:49.251 -0400,
2916,9,POINT (-84.0074485 34.0054929),2026-09-08 01:08:47.824 -0400,
2915,9,POINT (-84.0073937 34.0057816),2026-09-08 01:07:47.222 -0400,
2914,9,POINT (-84.0073919 34.0057845),2026-09-08 01:06:46.252 -0400,
2913,9,POINT (-84.0073886 34.0056902),2026-09-08 01:05:45.156 -0400,
2912,9,POINT (-84.0073932 34.0057272),2026-09-08 01:04:44.169 -0400,
2911,9,POINT (-84.0073896 34.0057622),2026-09-08 01:03:43.111 -0400,
2910,9,POINT (-84.0073959 34.0057694),2026-09-08 01:02:42.091 -0400,
2909,9,POINT (-84.0073928 34.0057248),2026-09-08 01:01:40.966 -0400,
2908,9,POINT (-84.0073913 34.0057437),2026-09-08 01:00:40.370 -0400,
2907,9,POINT (-84.0073915 34.0057852),2026-09-08 00:58:19.131 -0400,
2906,9,POINT (-84.0074889 34.0054922),2026-09-06 19:39:22.537 -0400,
2905,9,POINT (-84.0074977 34.0054977),2026-09-06 19:38:21.369 -0400,
2904,9,POINT (-84.0074502 34.0054904),2026-09-06 19:37:20.810 -0400,
2903,9,POINT (-84.0074246 34.0055113),2026-09-06 19:36:19.695 -0400,
2902,9,POINT (-84.0074408 34.005502),2026-09-06 19:35:18.878 -0400,
2901,9,POINT (-84.0074256 34.0055034),2026-09-06 19:34:17.919 -0400,
2900,9,POINT (-84.0074595 34.0055642),2026-09-06 19:33:16.927 -0400,
2899,9,POINT (-84.0074223 34.0057503),2026-09-06 19:31:39.732 -0400,
2898,9,POINT (-84.0073939 34.0057814),2026-09-06 19:30:38.311 -0400,
2897,9,POINT (-84.0073971 34.0057702),2026-09-06 19:29:36.367 -0400,
2896,9,POINT (-84.0073925 34.0057446),2026-09-06 19:28:34.293 -0400,
2895,9,POINT (-84.0073917 34.0057234),2026-09-06 19:27:32.318 -0400,
2894,9,POINT (-84.0074137 34.0057569),2026-09-06 19:26:30.577 -0400,
2893,9,POINT (-84.0073901 34.0057788),2026-09-06 19:25:28.105 -0400,
2892,9,POINT (-84.0073894 34.0057874),2026-09-06 19:24:27.195 -0400,
2891,9,POINT (-84.0073974 34.0057701),2026-09-06 19:23:26.364 -0400,
2890,9,POINT (-84.0073916 34.0057258),2026-09-06 19:22:10.358 -0400,
2889,9,POINT (-84.0073951 34.0057761),2026-09-06 19:21:08.551 -0400,
2888,9,POINT (-84.0073875 34.0057898),2026-09-06 19:20:06.396 -0400,
2887,9,POINT (-84.0073878 34.0057225),2026-09-06 19:19:04.314 -0400,
2886,9,POINT (-84.0073904 34.0057964),2026-09-06 19:18:02.325 -0400,
2885,9,POINT (-84.007395 34.0057652),2026-09-06 19:17:00.395 -0400,
2884,9,POINT (-84.0073974 34.0057481),2026-09-06 19:15:58.559 -0400,
2883,9,POINT (-84.0073975 34.0057768),2026-09-06 19:14:56.297 -0400,
2882,9,POINT (-84.0074055 34.0057796),2026-09-06 19:13:54.707 -0400,
2881,9,POINT (-84.0074114 34.0057567),2026-09-06 19:12:53.512 -0400,
2880,9,POINT (-84.00739 34.0057473),2026-09-06 19:11:51.330 -0400,
2879,9,POINT (-84.0074699 34.0057426),2026-09-06 19:10:48.774 -0400,
2878,9,POINT (-84.0074148 34.0058711),2026-09-06 19:09:43.557 -0400,
2877,9,POINT (-84.0075153 34.0057536),2026-09-06 19:08:41.583 -0400,
2876,9,POINT (-84.0074727 34.0057854),2026-09-06 19:07:39.635 -0400,
2875,9,POINT (-84.0074876 34.0057278),2026-09-06 19:06:45.240 -0400,
2874,9,POINT (-84.0074113 34.0057715),2026-09-06 19:05:44.562 -0400,
2873,9,POINT (-84.0073977 34.0057795),2026-09-06 19:04:42.361 -0400,
2872,9,POINT (-84.0074005 34.0057634),2026-09-06 19:03:40.281 -0400,
2871,9,POINT (-84.0074066 34.0057515),2026-09-06 19:02:38.371 -0400,
2870,9,POINT (-84.0074413 34.0056128),2026-09-06 19:01:36.091 -0400,
2869,9,POINT (-84.0073966 34.0057723),2026-09-06 19:00:32.500 -0400,
2868,9,POINT (-84.0073898 34.0057863),2026-09-06 18:59:30.400 -0400,
2867,9,POINT (-84.0073937 34.005794),2026-09-06 18:58:29.298 -0400,
2866,9,POINT (-84.007392 34.005736),2026-09-06 18:57:28.345 -0400,
2865,9,POINT (-84.0074078 34.0057775),2026-09-06 18:56:26.351 -0400,
2864,9,POINT (-84.0073951 34.0057845),2026-09-06 18:55:24.647 -0400,
2863,9,POINT (-84.0073982 34.0058045),2026-09-06 18:54:22.647 -0400,
2862,9,POINT (-84.0073921 34.0057169),2026-09-06 18:53:21.703 -0400,
2861,9,POINT (-84.007393 34.0057925),2026-09-06 18:52:21.053 -0400,
2860,9,POINT (-84.0073991 34.0057502),2026-09-06 18:51:19.803 -0400,
2859,9,POINT (-84.007396 34.0057858),2026-09-06 18:50:19.164 -0400,
2858,9,POINT (-84.0073876 34.005798),2026-09-06 18:49:18.114 -0400,
2857,9,POINT (-84.0074091 34.0057959),2026-09-06 18:48:17.237 -0400,
2856,9,POINT (-84.0073906 34.0057812),2026-09-06 18:47:16.513 -0400,
2855,9,POINT (-84.007386 34.005792),2026-09-06 18:46:15.473 -0400,
2854,9,POINT (-84.0073915 34.0057072),2026-09-06 18:45:14.797 -0400,
2853,9,POINT (-84.0073881 34.0057882),2026-09-06 18:44:13.599 -0400,
2852,9,POINT (-84.007391 34.0057782),2026-09-06 18:43:12.810 -0400,
2851,9,POINT (-84.0073967 34.0057819),2026-09-06 18:42:12.005 -0400,
2850,9,POINT (-84.0073969 34.005779),2026-09-06 18:41:10.945 -0400,
2849,9,POINT (-84.0073927 34.0057837),2026-09-06 18:40:10.135 -0400,
2848,9,POINT (-84.0073908 34.0057996),2026-09-06 18:39:08.980 -0400,
2847,9,POINT (-84.0073992 34.0057716),2026-09-06 18:37:27.165 -0400,
